Country Short Name,Date is Less Than or Equal to US Date,Date is max?,Continent Name,Country Alpha 2 Code,Country Alpha 3 Code,County Fips Number,County Name,Data Source Name,Max Date,Max Date for US,Min Date,New or Cumulative Header,Province State Name,Report Date,Selected Metric Header,Current day Cumulative or New Deaths,Current day Cumulative or New Positive Cases,Difference in Cumulative or New Deaths Down,Difference in Cumulative or New Deaths Same,Difference in Cumulative or New Deaths Up,Difference in Cumulative or New Positive Cases Down,Difference in Cumulative or New Positive Cases Same,Difference in Cumulative or New Positive Cases Up,Difference in Cumulative or New to Previous Day Deaths,Difference in Cumulative or New to Previous Day Deaths %,Difference in Cumulative or New to Previous Day Positive Cases,Difference in Cumulative or New to Previous Day Positive Cases %,People Death Count,People Death New Count,People Positive Cases Count,People Positive New Cases Count,Previous Day Cumulative or New Cases,Previous Day Cumulative or New Deaths,Selected Metric,Total or New Deaths,Total or New Positive Cases
United States,True,True,America,US,USA,28029,Copiah,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,77,3916,,,,,,,,,,,77,1,3916,4,,,3916,77,3916
United States,True,True,America,US,USA,28041,Greene,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,41,1870,,,,,,,,,,,41,1,1870,5,,,1870,41,1870
United States,True,True,America,US,USA,28051,Holmes,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,81,2410,,,,,,,,,,,81,1,2410,4,,,2410,81,2410
United States,True,True,America,US,USA,28061,Jasper,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,53,2916,,,,,,,,,,,53,1,2916,10,,,2916,53,2916
United States,True,True,America,US,USA,28081,Lee,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,196,13285,,,,,,,,,,,196,1,13285,75,,,13285,196,13285
United States,True,True,America,US,USA,28093,Marshall,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,113,5528,,,,,,,,,,,113,1,5528,19,,,5528,113,5528
United States,True,True,America,US,USA,28105,Oktibbeha,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,112,6259,,,,,,,,,,,112,1,6259,14,,,6259,112,6259
United States,True,True,America,US,USA,28119,Quitman,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,21,971,,,,,,,,,,,21,1,971,4,,,971,21,971
United States,True,True,America,US,USA,28123,Scott,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,86,4148,,,,,,,,,,,86,1,4148,4,,,4148,86,4148
United States,True,True,America,US,USA,28129,Smith,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,41,2285,,,,,,,,,,,41,1,2285,2,,,2285,41,2285
United States,True,True,America,US,USA,28049,Hinds,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,527,29253,,,,,,,,,,,527,2,29253,44,,,29253,527,29253
United States,True,True,America,US,USA,28149,Warren,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,147,6036,,,,,,,,,,,147,2,6036,16,,,6036,147,6036
United States,True,True,America,US,USA,28089,Madison,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Mississippi,8/31/2021,Cumulative Positive Cases,255,13261,,,,,,,,,,,255,3,13261,22,,,13261,255,13261
United States,True,True,America,US,USA,29003,Andrew,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Missouri,8/31/2021,Cumulative Positive Cases,23,2485,,,,,,,,,,,23,0,2485,1,,,2485,23,2485
United States,True,True,America,US,USA,29005,Atchison,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Missouri,8/31/2021,Cumulative Positive Cases,6,565,,,,,,,,,,,6,0,565,0,,,565,6,565
United States,True,True,America,US,USA,29015,Benton,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Missouri,8/31/2021,Cumulative Positive Cases,40,2254,,,,,,,,,,,40,0,2254,12,,,2254,40,2254
United States,True,True,America,US,USA,29017,Bollinger,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Missouri,8/31/2021,Cumulative Positive Cases,15,1342,,,,,,,,,,,15,0,1342,7,,,1342,15,1342
United States,True,True,America,US,USA,29019,Boone,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Missouri,8/31/2021,Cumulative Positive Cases,140,22991,,,,,,,,,,,140,0,22991,60,,,22991,140,22991
United States,True,True,America,US,USA,29025,Caldwell,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Missouri,8/31/2021,Cumulative Positive Cases,18,1044,,,,,,,,,,,18,0,1044,3,,,1044,18,1044
United States,True,True,America,US,USA,29033,Carroll,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Missouri,8/31/2021,Cumulative Positive Cases,25,1253,,,,,,,,,,,25,0,1253,0,,,1253,25,1253
United States,True,True,America,US,USA,29041,Chariton,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Missouri,8/31/2021,Cumulative Positive Cases,8,928,,,,,,,,,,,8,0,928,4,,,928,8,928
United States,True,True,America,US,USA,29061,Daviess,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Missouri,8/31/2021,Cumulative Positive Cases,12,908,,,,,,,,,,,12,0,908,6,,,908,12,908
United States,True,True,America,US,USA,29075,Gentry,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Missouri,8/31/2021,Cumulative Positive Cases,23,1092,,,,,,,,,,,23,0,1092,3,,,1092,23,1092
United States,True,True,America,US,USA,29085,Hickory,New York Times,8/31/2021,8/31/2021,6/1/2021,Cumulative,Missouri,8/31/2021,Cumulative Positive Cases,17,942,,,,,,,,,,,17,0,942,0,,,942,17,942
